episode,rating,perplexity
s02e03,8.4,144.10
s02e04,8.4,135.75
s08e07,7.7,115.36
s08e24,7.8,91.10
s03e16,8.8,134.62
s08e20,7.2,112.26
s08e21,7.2,111.65
s08e22,7.1,110.67
s08e23,7.7,110.17
s02e07,8.6,132.79
s03e14,8.2,122.33
s07e11,8.9,106.83
s07e12,8.3,116.62
s07e13,7.7,112.55
s07e14,8.5,55.92
s03e11,8.5,115.30
s07e16,9.2,96.85
s07e17,7.5,114.47
s07e18,9.2,109.01
s07e19,7.8,111.84
s05e21,8.7,116.59
s05e20,8.3,120.32
s03e18,8.9,123.68
s05e26,8.9,120.27
s05e25,8.7,129.76
s05e24,8.3,112.03
s01e04,8.1,150.38
s05e17,8.7,120.06
s03e03,8.5,133.97
s03e02,8.2,122.89
s03e01,8.9,133.62
s03e07,8.5,125.33
s03e05,8.2,130.61
s07e09,7.8,102.76
s03e04,8.0,112.90
s07e07,7.5,123.58
s07e06,8.2,127.09
s07e05,7.8,101.12
s07e04,7.9,118.64
s07e03,8.2,115.90
s07e02,8.3,118.90
s07e01,8.4,105.44
s03e09,8.2,134.28
s05e19,8.4,121.58
s02e06,8.2,131.46
s03e08,8.7,143.67
s07e10,8.2,122.65
s04e08,8.7,126.34
s04e09,9.3,116.56
s04e06,8.5,113.98
s04e07,8.3,121.92
s04e04,8.7,138.59
s04e05,8.8,107.94
s04e02,8.4,134.36
s04e03,8.5,126.25
s04e01,8.8,129.21
s03e17,8.5,132.24
s03e10,8.7,121.72
s05e02,8.3,129.99
s07e15,8.4,123.13
s02e17,8.4,126.95
s03e12,8.6,118.46
s02e16,8.3,122.83
s03e13,8.8,53.45
s06e11,8.2,131.08
s05e23,9.1,130.88
s02e14,7.9,116.24
s05e22,8.7,128.46
s02e13,8.3,118.59
s02e12,9.0,119.01
s07e08,7.9,128.98
s02e11,8.6,134.92
s04e14,9.3,100.81
s02e10,8.8,127.92
s04e11,8.7,125.49
s04e10,8.1,127.03
s04e13,7.9,130.41
s04e12,8.4,127.22
s02e20,8.4,125.70
s02e21,8.7,141.07
s06e22,7.9,93.49
s06e23,8.0,121.81
s06e20,7.9,127.30
s06e21,8.6,123.03
s02e22,9.3,119.04
s06e24,8.2,122.96
s06e25,7.9,114.94
s09e18,8.0,108.96
s09e19,8.0,118.45
s09e16,8.2,113.98
s09e17,7.5,100.55
s09e14,7.6,118.62
s09e15,7.4,105.21
s09e12,8.1,109.79
s09e13,7.7,117.35
s09e10,7.7,104.06
s09e11,7.9,119.21
s02e01,8.7,138.23
s08e18,7.8,116.76
s09e23,9.7,112.57
s03e19,8.8,137.64
s09e22,9.3,110.56
s05e12,8.1,133.50
s05e13,9.6,131.91
s05e10,8.4,127.49
s05e11,8.7,137.43
s05e16,8.1,133.21
s09e21,8.9,107.55
s05e14,8.3,137.81
s05e15,8.2,129.32
s05e18,8.4,119.12
s09e20,8.1,114.75
s09e09,8.4,115.14
s09e08,7.8,110.69
s09e05,7.1,104.67
s09e04,7.9,99.40
s09e07,7.7,107.07
s09e06,7.8,107.08
s09e01,7.7,124.65
s09e03,7.5,111.57
s09e02,7.2,107.86
s06e26,8.0,122.63
s06e04,9.3,122.72
s06e06,7.7,135.61
s06e07,8.6,117.17
s06e01,8.8,122.06
s06e02,8.2,127.73
s06e03,8.0,115.27
s06e08,8.2,116.04
s06e09,8.2,123.54
s02e08,8.2,117.22
s02e09,8.4,125.19
s08e08,7.0,119.07
s08e09,7.7,110.51
s05e05,8.1,132.05
s05e04,8.1,123.06
s05e07,8.2,128.63
s05e06,8.5,115.20
s08e02,8.2,112.98
s08e03,7.3,115.73
s02e02,8.2,125.25
s08e01,8.2,118.53
s08e06,7.8,127.38
s02e05,8.2,115.68
s08e04,8.1,114.18
s08e05,7.6,115.72
s05e01,8.8,131.06
s01e02,8.3,144.08
s05e03,8.1,129.96
s06e13,8.5,102.57
s06e12,8.3,114.60
s02e15,8.2,128.50
s06e10,8.6,63.82
s06e17,8.4,102.05
s06e16,8.2,113.48
s06e15,7.8,122.71
s06e14,6.8,107.82
s06e19,7.8,120.88
s02e19,8.1,138.95
s02e18,8.3,131.18
s08e19,6.7,114.38
s07e24,8.8,58.80
s07e21,9.7,109.43
s07e20,8.9,115.13
s07e23,8.7,115.00
s07e22,7.7,106.07
s08e11,7.9,122.88
s08e10,8.0,108.97
s08e13,7.5,108.26
s08e12,7.9,120.04
s08e15,7.9,118.03
s08e14,7.8,103.47
s08e17,7.9,110.04
s08e16,8.1,113.57
s01e05,8.4,131.40
s05e09,8.7,125.73
s01e06,7.8,122.11
s01e01,7.6,141.73
s03e15,8.3,128.84
s01e03,7.9,132.45
s05e08,8.6,133.98
s03e21,8.8,127.66
s03e20,8.7,130.72
s03e23,9.3,122.43
s03e22,9.1,131.66
s03e06,8.0,135.64
